@id,http://data.europeana.eu/agent/base/146951,full_coverage
dc:identifier{Literal},32197206,dc:identifier{Literal}
rdaGr2:biographicalInformation{Literal}@ar,وولفغانغ أماديوس موزارت (27 يناير1756 - 5 ديسمبر1791) ولد في 27 يناير1756 في سالزبورغ بالنمسا مؤلف موسيقي نمساوي يعتبر من أشهر العباقرة المبدعين في تاريخ الموسيقى رغم أن حياته كانت قصيرة، فقد مات عن عمر يناهز الـ 35 عاماً بعد أن نجح في إنتاج 626 عمل موسيقي. قاد اوركسترا وهو في السابعة من عمره ولم يمشي في جنازته سوى خمس اشخاص فقط ليس من بينهم زوجته لان الجو كان شديد البرودة في تلك الأوقات في هذه المنطقة .,rdaGr2:biographicalInformation{Literal}@ar
rdaGr2:biographicalInformation{Literal}@az,"Volfqanq Amadeus Mosart (Wolfgang Amadeus Mozart) (27 yanvar 1756, Zaltsburq – 5 dekabr 1791, Vyana) – dahi Avstriya bəstəkarı, Avropa klassik musiqisinin ən nüfuzlu nümayəndələrindən biri.Mosart bəstəkarlıqla yanaşı, eyni zamanda mahir skripkaçı, klavesin və orqan ifaçısı və dirijor da olmuşdur. Müasirlərinin dediyinə görə dahi bəstəkar qeyri-adi musiqi duyumu, eşitdiyi musiqiləri yadda saxlama və improvizə etmə kimi fenomenal qabiliyyətlərə malik olmuşdur. Yaratdığı 600-dən çox əsəri simfonik, konsert, kamera, piano, xor kimi klassik musiqi janrlarının ən yüksək zirvələrində qərarlaşıb. Onun əsərləri dünyanın ən nüfuzlu orkestrlərinin konsert reperturlarının ayrılmaz parçasını təşkil edir.",rdaGr2:biographicalInformation{Literal}@az
rdaGr2:biographicalInformation{Literal}@be,"Вольфганг Амадэй Моцарт, поўнае імя Іага́н Хрызасто́м Во́льфганг Тэафіл Моцарт, (ням.: Joannes Chrysostomus Wolfgang Theophilus Mozart [ˈvɔlfɡaŋ amaˈdeus ˈmoːtsaʁt], 27 студзеня 1756, Зальцбург — 5 снежня 1791, Вена) — аўстрыйскі кампазітар. Выбітны прадстаўнік Венскай класічнай школы кампазіцыі. Быў таксама віртуозным скрыпачом, клавесіністам, арганістам, дырыжорам. Па сведчаннях сучаснікаў, валодаў фенаменальным музычным слыхам, памяццю і здольнасцю да імправізацыі.",rdaGr2:biographicalInformation{Literal}@be
rdaGr2:biographicalInformation{Literal}@bg,"Волфганг Амадеус Моцарт (на немски: Johann Chrysostom Wolfgang Amadeus Mozart, произношение на немски произношение на немски) е плодовит и влиятелен австрийски композитор от класическата епоха.Неговото творчество е огромно по обем и обхваща всички музикални жанрове на класическата музика, съществуващи през неговото време — общо над 600 композиции, много от които се смятат за връх в симфоничната, концертната, камерната, клавирната, оперната и хоровата музика. Той е сред най-популярните класически композитори.Моцарт проявява забележителни способности от най-ранна възраст. Той притежава феноменален музикален слух, изключителна памет и блестящ изпълнителски, импровизаторски и композиторски дар. На основата на немския зингшпил и на италианската опера-буфа създава класическите опери ""Отвличане от сарая"", ""Сватбата на Фигаро"", ""Дон Жуан"" и ""Вълшебната флейта"". Автор е на 41 симфонии, 27 концерта за пиано и оркестър, 5 концерта за цигулка и оркестър, 9 концерта за духови инструменти и оркестър, камерна музика, клавирни творби, арии, серенади („Малка нощна музика“), ""Реквием"" и други. Собственият му каталог се води от 9 февруари 1784 г., като до тогава вече е написал около 450 творби.",rdaGr2:biographicalInformation{Literal}@bg
rdaGr2:biographicalInformation{Literal}@bs,"Wolfgang Amadeus Mozart (27. januar 1756 – 5. decembar 1791) (Volfgang Amadeus Mocart; puno ime Joannes Chrysostomus Wolfgangus Theophilus Mozart) je rođen 27. januara 1756. u Salzburgu, danas u Austriji ali tad glavni grad male nezavisne nadbiskupije u Svetom Rimskom Carstvu.Mozartova muzička vještina je bila vidljiva čak i kad je bio samo par godina star.Otac mu je bio Leopold Mozart, veoma značajan u životu svoga sina. Bio je veoma obrazovan i također jedan od vodećih evropskih nastavnika muzike, čija uticajna knjiga ""Pisani članak o osnovama sviranja violine"" (Versuch einer grundlichen Violinschule) je bila objavljena 1756. iste godine kad je Mozart rođen. Otac ga je naučio da svira klavir.Život Mozarta je trijumf genija nad ranim sazrijevanjem. Brzo je učio, i svoje prve kompozicije piše već u petoj godini života. Stari Goethe koji je kao mlad čovjek čuo sedmogodišnjeg dječaka kako drži koncert u Frankfurtu, smatrao ga je nedostižnim u muzici, rame uz rame sa Rafaelom i Šekspirom u njihovim područjima umjetničkog djelovanja.",rdaGr2:biographicalInformation{Literal}@bs
rdaGr2:biographicalInformation{Literal}@ca,"Wolfgang Amadeus Mozart (Salzburg, 27 de gener de 1756 − Viena, 5 de desembre de 1791) fou un compositor de música clàssica. Probablement el músic més prodigiós, les seves primerenques gires per Europa el van fer famós i el van familiaritzar amb els estils musicals europeus, que després va sintetitzar a les seves obres. Únic en la història de la música gràcies als seus assoliments en tot tipus de gèneres i formes, així com per la seva sorprenent fluïdesa de composició, va ser el primer compositor important que va intentar establir una carrera musical «independent».",rdaGr2:biographicalInformation{Literal}@ca
rdaGr2:biographicalInformation{Literal}@cs,"Wolfgang Amadeus Mozart, jméno podle křestního záznamu Joannes Chrysostomus Wolfgangus Theophilus Mozart (27. ledna 1756, Salzburg – 5. prosince 1791, Vídeň) byl klasicistní hudební skladatel a klavírní virtuos; geniální hudebník, který za svého života vytvořil 626 děl světského i duchovního charakteru – opery, symfonie, koncerty, komorní hudbu, mše a chorály.Ve svém dětství koncertoval po celé Evropě. Poté, co opustil pozici dvorního skladatele v Salzburgu, nenalezl již přes svou proslulost stálé placené místo pro zajištění existence své rodiny. Nechtěl sloužit jako lokaj aristokratické společnosti a přál si zůstat svobodným umělcem. Mezi jeho nejproslulejší díla se řadí opery Figarova svatba a Don Giovanni a jeho poslední monumentální, i když nedokončený opus, zádušní mše Requiem d moll (KV 626).",rdaGr2:biographicalInformation{Literal}@cs
rdaGr2:biographicalInformation{Literal}@cy,"Roedd Wolfgang Amadeus Mozart (27 Ionawr 1756 - 5 Rhagfyr 1791) yn un o gyfansoddwyr mwyaf dylanwadol a diwyd y cyfnod Clasurol. Fe'i ganwyd yn Salzburg, Awstria a dechreuodd gyfansoddi darnau pan oedd yn bump oed. Pan roedd yn dal yn blentyn aeth ei dad, Leopold Mozart, ag ef i chwarae o flaen teuluoedd crand Ewrop. Mae'n bosibl fod yr holl deithio wedi achosi problemau iechyd iddo yn hwyrach yn ei fywyd. Ei wraig oedd Constanze Weber. Plant: Karl Thomas Mozart a Franz Xaver Wolfgang Mozart; cyfansoddwr oedd Franz.Bu farw ym 1791 yn drychinebus o ifanc, yn dlawd, ond wedi cyfansoddi cannoedd o ganeuon sy'n adnabyddus hyd heddiw.Mae Mozart wedi ysgrifennu 68 symffoni, 27 concerto piano, yn ogystal â choncerti i'r clarinet, y corn Ffrengig, yr obo, y fiola, y ffidil, y ffliwt a'r telyn.",rdaGr2:biographicalInformation{Literal}@cy
