@id,ulan:500022428,full_coverage
cc:license{URIRef},http://opendatacommons.org/licenses/by/1.0/,cc:license{URIRef}
dc:identifier{Literal},500022428,dc:identifier{Literal}
dcterms:contributor{URIRef}[0],ulan_contrib:2500000001,dcterms:contributor{URIRef}[0]
dcterms:contributor{URIRef}[1],ulan_contrib:2500000002,dcterms:contributor{URIRef}[1]
dcterms:contributor{URIRef}[2],ulan_contrib:2500000008,dcterms:contributor{URIRef}[2]
dcterms:contributor{URIRef}[3],ulan_contrib:2500000012,dcterms:contributor{URIRef}[3]
dcterms:contributor{URIRef}[4],ulan_contrib:2500000013,dcterms:contributor{URIRef}[4]
dcterms:contributor{URIRef}[5],ulan_contrib:2500000130,dcterms:contributor{URIRef}[5]
dcterms:contributor{URIRef}[6],ulan_contrib:2500000256,dcterms:contributor{URIRef}[6]
dcterms:created{Literal}[0](xsd:dateTime),1989-12-22T00:00:00,dcterms:created{Literal}[0](xsd:dateTime)
dcterms:created{Literal}[1](xsd:dateTime),1990-02-01T00:00:00,dcterms:created{Literal}[1](xsd:dateTime)
dcterms:created{Literal}[2](xsd:dateTime),1990-05-16T00:00:00,dcterms:created{Literal}[2](xsd:dateTime)
dcterms:license{URIRef},http://opendatacommons.org/licenses/by/1.0/,dcterms:license{URIRef}
dcterms:modified{Literal}[0](xsd:dateTime),2002-09-25T10:03:04,dcterms:modified{Literal}[0](xsd:dateTime)
dcterms:modified{Literal}[1](xsd:dateTime),2002-09-25T10:04:21,dcterms:modified{Literal}[1](xsd:dateTime)
dcterms:modified{Literal}[2](xsd:dateTime),2009-02-03T13:37:42,dcterms:modified{Literal}[2](xsd:dateTime)
dcterms:modified{Literal}[3](xsd:dateTime),2009-02-03T13:37:45,dcterms:modified{Literal}[3](xsd:dateTime)
dcterms:modified{Literal}[4](xsd:dateTime),2009-02-03T15:36:30,dcterms:modified{Literal}[4](xsd:dateTime)
dcterms:modified{Literal}[5](xsd:dateTime),2009-06-14T14:06:16,dcterms:modified{Literal}[5](xsd:dateTime)
dcterms:modified{Literal}[6](xsd:dateTime),2009-06-14T14:06:18,dcterms:modified{Literal}[6](xsd:dateTime)
dcterms:modified{Literal}[7](xsd:dateTime),2010-01-04T11:27:19,dcterms:modified{Literal}[7](xsd:dateTime)
dcterms:modified{Literal}[8](xsd:dateTime),2010-01-04T11:27:30,dcterms:modified{Literal}[8](xsd:dateTime)
dcterms:modified{Literal}[9](xsd:dateTime),2011-04-05T14:27:48,dcterms:modified{Literal}[9](xsd:dateTime)
dcterms:modified{Literal}[10](xsd:dateTime),2011-04-05T14:30:29,dcterms:modified{Literal}[10](xsd:dateTime)
dcterms:modified{Literal}[11](xsd:dateTime),2011-04-05T14:37:04,dcterms:modified{Literal}[11](xsd:dateTime)
dcterms:modified{Literal}[12](xsd:dateTime),2011-04-05T14:37:05,dcterms:modified{Literal}[12](xsd:dateTime)
dcterms:modified{Literal}[13](xsd:dateTime),2011-04-05T14:41:05,dcterms:modified{Literal}[13](xsd:dateTime)
dcterms:modified{Literal}[14](xsd:dateTime),2011-04-05T14:42:35,dcterms:modified{Literal}[14](xsd:dateTime)
dcterms:modified{Literal}[15](xsd:dateTime),2011-04-11T15:04:48,dcterms:modified{Literal}[15](xsd:dateTime)
dcterms:modified{Literal}[16](xsd:dateTime),2011-04-27T11:03:21,dcterms:modified{Literal}[16](xsd:dateTime)
dcterms:modified{Literal}[17](xsd:dateTime),2012-10-26T11:05:24,dcterms:modified{Literal}[17](xsd:dateTime)
dcterms:modified{Literal}[18](xsd:dateTime),2012-10-26T11:05:25,dcterms:modified{Literal}[18](xsd:dateTime)
dcterms:modified{Literal}[19](xsd:dateTime),2012-10-26T11:10:39,dcterms:modified{Literal}[19](xsd:dateTime)
dcterms:modified{Literal}[20](xsd:dateTime),2014-02-12T12:05:44,dcterms:modified{Literal}[20](xsd:dateTime)
