@id,http://viaf.org/viaf/95738652,full_coverage
rdf:type{URIRef}[0],schema1:Person,rdf:type{URIRef}[0]
skos:prefLabel{Literal}@ar-EG,فكتوريا،,skos:prefLabel{Literal}@ar-EG
skos:prefLabel{Literal}@ca-ES,Victòria,skos:prefLabel{Literal}@ca-ES
skos:prefLabel{Literal}@cs-CZ,Viktorie,skos:prefLabel{Literal}@cs-CZ
skos:prefLabel{Literal}@de-DE,Viktoria,skos:prefLabel{Literal}@de-DE
skos:prefLabel{Literal}@en-AU,Victoria,skos:prefLabel{Literal}@en-AU
skos:prefLabel{Literal}@en-KR,Victoria,skos:prefLabel{Literal}@en-KR
skos:prefLabel{Literal}@en-US,Victoria,skos:prefLabel{Literal}@en-US
skos:prefLabel{Literal}@es-CL,Victoria I,skos:prefLabel{Literal}@es-CL
skos:prefLabel{Literal}@es-ES,Victoria,skos:prefLabel{Literal}@es-ES
skos:prefLabel{Literal}@fr-CH,Viktoria,skos:prefLabel{Literal}@fr-CH
skos:prefLabel{Literal}@fr-FR,Victoria,skos:prefLabel{Literal}@fr-FR
skos:prefLabel{Literal}@hr-HR,Victoria,skos:prefLabel{Literal}@hr-HR
skos:prefLabel{Literal}@it-IT,Victoria,skos:prefLabel{Literal}@it-IT
skos:prefLabel{Literal}@ja-JP,Queen of Great Britain Victoria,skos:prefLabel{Literal}@ja-JP
skos:prefLabel{Literal}@lv-LV,Victoria,skos:prefLabel{Literal}@lv-LV
skos:prefLabel{Literal}@nl-NL,Victoria,skos:prefLabel{Literal}@nl-NL
skos:prefLabel{Literal}@no-NO,Viktoria,skos:prefLabel{Literal}@no-NO
skos:prefLabel{Literal}@sv-SE,Viktoria,skos:prefLabel{Literal}@sv-SE
dbo:notableWork{URIRef}[0],http://viaf.org/viaf/174586245,dbo:notableWork{URIRef}[0]
dbo:notableWork{URIRef}[1],http://viaf.org/viaf/176206659,dbo:notableWork{URIRef}[1]
dbo:notableWork{URIRef}[2],http://viaf.org/viaf/2984162723655961290001,dbo:notableWork{URIRef}[2]
dcterms:identifier{Literal},95738652,dcterms:identifier{Literal}
schema1:alternateName{Literal}[0],Alexandrina Victoria,schema1:alternateName{Literal}[0]
schema1:alternateName{Literal}[1],Ban-rìgh Bhictoria,schema1:alternateName{Literal}[1]
schema1:alternateName{Literal}[2],Bhikṭoriẏā,schema1:alternateName{Literal}[2]
schema1:alternateName{Literal}[3],Chenigi vu Großbritannien un Irland Victoria,schema1:alternateName{Literal}[3]
schema1:alternateName{Literal}[4],I Viktoriya,schema1:alternateName{Literal}[4]
schema1:alternateName{Literal}[5],Keybanû Victoria,schema1:alternateName{Literal}[5]
schema1:alternateName{Literal}[6],Koningin Victoria,schema1:alternateName{Literal}[6]
schema1:alternateName{Literal}[7],Kuninganna Victoria,schema1:alternateName{Literal}[7]
schema1:alternateName{Literal}[8],Königin Viktoria Großbritannien,schema1:alternateName{Literal}[8]
schema1:alternateName{Literal}[9],Majesté la Reine Victoria,schema1:alternateName{Literal}[9]
schema1:alternateName{Literal}[10],Masiofo Vitoria,schema1:alternateName{Literal}[10]
schema1:alternateName{Literal}[11],Mbretëresha Victoria,schema1:alternateName{Literal}[11]
schema1:alternateName{Literal}[12],Queen Victoria,schema1:alternateName{Literal}[12]
schema1:alternateName{Literal}[13],Queen of Great Britain,schema1:alternateName{Literal}[13]
schema1:alternateName{Literal}[14],Queen of Great Britain and Empress of India Victoria,schema1:alternateName{Literal}[14]
schema1:alternateName{Literal}[15],Queen of Great Britain and Ireland Hannover,schema1:alternateName{Literal}[15]
schema1:alternateName{Literal}[16],Queen of Great Britain and Ireland Kaiserin von Indien,schema1:alternateName{Literal}[16]
schema1:alternateName{Literal}[17],Queen of Great Britain and Ireland Königin von Großbritannien und Irland,schema1:alternateName{Literal}[17]
schema1:alternateName{Literal}[18],Queen of Great Britain and Ireland Queen of Great Britain and Ireland,schema1:alternateName{Literal}[18]
schema1:alternateName{Literal}[19],Queen of the United Kingdom of Great Britain and Ireland Victoria,schema1:alternateName{Literal}[19]
schema1:alternateName{Literal}[20],Rea Victoria,schema1:alternateName{Literal}[20]
schema1:alternateName{Literal}[21],Reina Victòria del Regne Unit,schema1:alternateName{Literal}[21]
schema1:alternateName{Literal}[22],Reina de Gran Bretaña Victoria I,schema1:alternateName{Literal}[22]
schema1:alternateName{Literal}[23],Reine Victoria,schema1:alternateName{Literal}[23]
schema1:alternateName{Literal}[24],Tagellit Victoria,schema1:alternateName{Literal}[24]
schema1:alternateName{Literal}[25],Victoria,schema1:alternateName{Literal}[25]
schema1:alternateName{Literal}[26],Victoria (Ferianigt Köningrik),schema1:alternateName{Literal}[26]
schema1:alternateName{Literal}[27],Victoria (Liân-ha̍p Ông-kok),schema1:alternateName{Literal}[27]
schema1:alternateName{Literal}[28],Victoria Alexandrine,schema1:alternateName{Literal}[28]
schema1:alternateName{Literal}[29],Victoria I,schema1:alternateName{Literal}[29]
schema1:alternateName{Literal}[30],Victoria Nṳ̄-uòng,schema1:alternateName{Literal}[30]
schema1:alternateName{Literal}[31],Victoria a Regatului Unit,schema1:alternateName{Literal}[31]
schema1:alternateName{Literal}[32],Victoria af Storbritannien,schema1:alternateName{Literal}[32]
schema1:alternateName{Literal}[33],Victoria av Storbritannia,schema1:alternateName{Literal}[33]
schema1:alternateName{Literal}[34],Victoria của Anh,schema1:alternateName{Literal}[34]
schema1:alternateName{Literal}[35],Victoria dari Britania Raya,schema1:alternateName{Literal}[35]
schema1:alternateName{Literal}[36],Victoria dari United Kingdom,schema1:alternateName{Literal}[36]
schema1:alternateName{Literal}[37],Victoria del Regno Unite,schema1:alternateName{Literal}[37]
schema1:alternateName{Literal}[38],Victoria del Reino Unido,schema1:alternateName{Literal}[38]
schema1:alternateName{Literal}[39],Victoria del Reinu Xuníu,schema1:alternateName{Literal}[39]
schema1:alternateName{Literal}[40],Victoria drotning,schema1:alternateName{Literal}[40]
schema1:alternateName{Literal}[41],Victoria du Rouoyaume Unni,schema1:alternateName{Literal}[41]
schema1:alternateName{Literal}[42],Victoria du Royaume-Uni,schema1:alternateName{Literal}[42]
schema1:alternateName{Literal}[43],Victoria fan it Feriene Keninkryk,schema1:alternateName{Literal}[43]
schema1:alternateName{Literal}[44],Victoria han Reino Unido,schema1:alternateName{Literal}[44]
schema1:alternateName{Literal}[45],Victoria na Ríochta Aontaithe,schema1:alternateName{Literal}[45]
schema1:alternateName{Literal}[46],Victoria ng Nagkakaisang Kaharian,schema1:alternateName{Literal}[46]
schema1:alternateName{Literal}[47],Victoria saking Britania Raya,schema1:alternateName{Literal}[47]
