@id,wd:Q9439,full_coverage
schema1:description{Literal}@en,British monarch who reigned 1837-1901,schema1:description{Literal}@en
schema1:description{Literal}@ar,ملكة المملكة المتحدة لبريطانيا العظمى وايرلندا,schema1:description{Literal}@ar
schema1:description{Literal}@ary,لملكة ديال بريطانيا,schema1:description{Literal}@ary
schema1:description{Literal}@be-tarask,каралева Брытаніі (1837—1901),schema1:description{Literal}@be-tarask
schema1:description{Literal}@bg,британска кралица,schema1:description{Literal}@bg
schema1:description{Literal}@bn,"ব্রিটিশ সাম্রাজ্যের ২০জনু ১৮৩৭ সাল থেকে ২২শে জানুয়ারি, ১৯০১ সাল পর্যন্ত রানি",schema1:description{Literal}@bn
schema1:description{Literal}@ca,reina del Regne Unit de la Gran Bretanya i d'Irlanda (1837-1901) i emperadriu de l'Índia (1876-1901),schema1:description{Literal}@ca
schema1:description{Literal}@cs,britská královna (1837–1901),schema1:description{Literal}@cs
schema1:description{Literal}@da,britisk og indisk statsoverhoved (1819-1901),schema1:description{Literal}@da
schema1:description{Literal}@de,"Königin von Großbritannien und Irland (1837–1901), Kaiserin von Indien (1876–1901)",schema1:description{Literal}@de
schema1:description{Literal}@el,βασίλισσα του Ηνωμένου Βασιλείου Μεγάλης Βρετανίας και Ιρλανδίας,schema1:description{Literal}@el
schema1:description{Literal}@eo,"reĝo de Britio, kiu reĝis de 1837 ĝis 1910",schema1:description{Literal}@eo
schema1:description{Literal}@es,reina del Reino Unido (1837-1901),schema1:description{Literal}@es
schema1:description{Literal}@et,Suurbritannia ja Iirimaa Ühendkuningriigi kuninganna,schema1:description{Literal}@et
schema1:description{Literal}@fa,ملکهٔ پادشاهی متحدهٔ بریتانیای کبیر و ایرلند (۱۹۰۱_۱۸۳۷) و ملکه هند (۱۹۰۱_۱۸۷۶),schema1:description{Literal}@fa
schema1:description{Literal}@fi,Ison-Britannian ja Irlannin yhdistyneen kuningaskunnan kuningatar 1837–1901,schema1:description{Literal}@fi
schema1:description{Literal}@fr,reine du Royaume-Uni entre 1837 et 1901,schema1:description{Literal}@fr
schema1:description{Literal}@gl,raíña do Reino Unido entre 1837 e 1901,schema1:description{Literal}@gl
schema1:description{Literal}@he,מלכת הממלכה המאוחדת,schema1:description{Literal}@he
schema1:description{Literal}@hi,यूनाइटेड किंगडम की महारानी और भारत की साम्राज्ञी,schema1:description{Literal}@hi
schema1:description{Literal}@hy,Մեծ Բրիտանիայի թագուհի (1821-1901),schema1:description{Literal}@hy
