@id,http://id.worldcat.org/fast/29048,full_coverage
dct:identifier{Literal},29048,dct:identifier{Literal}
schema:name{Literal}[0],"Hākipia, Wiremu, 1564-1616",schema:name{Literal}[0]
schema:name{Literal}[1],"Saixpēr, Gouilliam, 1564-1616",schema:name{Literal}[1]
schema:name{Literal}[2],"Sha-shih-pi-ya, 1564-1616",schema:name{Literal}[2]
schema:name{Literal}[3],"Sha-ō, 1564-1616",schema:name{Literal}[3]
schema:name{Literal}[4],"Shake-speare, William, 1564-1616",schema:name{Literal}[4]
schema:name{Literal}[5],"Shakespear, William, 1564-1616",schema:name{Literal}[5]
schema:name{Literal}[6],"Shakespeare, 1564-1616",schema:name{Literal}[6]
schema:name{Literal}[7],"Shakespeare, Guglielmo, 1564-1616",schema:name{Literal}[7]
schema:name{Literal}[8],"Shakespeare, William, 1564-1616",schema:name{Literal}[8]
schema:name{Literal}[9],"Shakspeare, William, 1564-1616",schema:name{Literal}[9]
schema:name{Literal}[10],"Shakspere, William, 1564-1616",schema:name{Literal}[10]
schema:name{Literal}[11],"Shakspir, 1564-1616",schema:name{Literal}[11]
schema:name{Literal}[12],"Shashibiya, 1564-1616",schema:name{Literal}[12]
schema:name{Literal}[13],"Shaḳspir, Ṿilyam, 1564-1616",schema:name{Literal}[13]
schema:name{Literal}[14],"Shekspir, U. (Uiliam), 1564-1616",schema:name{Literal}[14]
schema:name{Literal}[15],"Shekspir, Uiliam, 1564-1616",schema:name{Literal}[15]
schema:name{Literal}[16],"Shekspir, Uĭlii︠a︡m, 1564-1616",schema:name{Literal}[16]
schema:name{Literal}[17],"Shekspir, V. (Vilʹi︠a︡m), 1564-1616",schema:name{Literal}[17]
schema:name{Literal}[18],"Shekspir, Vilʹi︠a︡m, 1564-1616",schema:name{Literal}[18]
schema:name{Literal}[19],"Shekspyr, Vyli︠e︡m, 1564-1616",schema:name{Literal}[19]
schema:name{Literal}[20],"Shekspīʼar, Viliyam, 1564-1616",schema:name{Literal}[20]
schema:name{Literal}[21],"Sheḳspier, Ṿilyam, 1564-1616",schema:name{Literal}[21]
schema:name{Literal}[22],"Sheḳspir, Ṿilyam, 1564-1616",schema:name{Literal}[22]
schema:name{Literal}[23],"Shikisbīr, Wilyam, 1564-1616",schema:name{Literal}[23]
schema:name{Literal}[24],"Shēkʻspir, 1564-1616",schema:name{Literal}[24]
schema:name{Literal}[25],"Shēkʻspʻiyr, Vlilliam, 1564-1616",schema:name{Literal}[25]
schema:name{Literal}[26],"Syeiksŭpʻio, 1564-1616",schema:name{Literal}[26]
schema:name{Literal}[27],"Szekspir, Wiliam, 1564-1616",schema:name{Literal}[27]
schema:name{Literal}[28],"Szekspir, William, 1564-1616",schema:name{Literal}[28]
schema:name{Literal}[29],"Tsikinya-chaka, 1564-1616",schema:name{Literal}[29]
schema:name{Literal}[30],"Śeksper, 1564-1616",schema:name{Literal}[30]
schema:name{Literal}[31],"Şekspir, 1564-1616",schema:name{Literal}[31]
schema:name{Literal}[32],"Şekspir, Velyam, 1564-1616",schema:name{Literal}[32]
schema:name{Literal}[33],"Šekspir, Vilijam, 1564-1616",schema:name{Literal}[33]
schema:name{Literal}[34],"Šekspir, Viljem, 1564-1616",schema:name{Literal}[34]
schema:name{Literal}[35],"Šekspyras, 1564-1616",schema:name{Literal}[35]
schema:name{Literal}[36],"Šekʻspiri, Uiliam, 1564-1616",schema:name{Literal}[36]
schema:name{Literal}[37],"Ṣēkspiyar Mahākavi, 1564-1616",schema:name{Literal}[37]
schema:name{Literal}[38],"Ṣēkspiyar Mahākaviya, 1564-1616",schema:name{Literal}[38]
schema:name{Literal}[39],"Ṣēkspiyar, 1564-1616",schema:name{Literal}[39]
schema:name{Literal}[40],"Ṣēkspiyar, Viliyam, 1564-1616",schema:name{Literal}[40]
schema:name{Literal}[41],"Ṣēkspiyar, Villiyam, 1564-1616",schema:name{Literal}[41]
schema:sameAs{URIRef}[0],http://id.loc.gov/authorities/names/n78095332,schema:sameAs{URIRef}[0]
schema:sameAs{URIRef}[1],https://viaf.org/viaf/96994048,schema:sameAs{URIRef}[1]
rdf:type{URIRef},schema:Person,rdf:type{URIRef}
rdfs:seeAlso{Literal}(xsd:anyURI),http://en.wikipedia.org/wiki/William_Shakespeare,rdfs:seeAlso{Literal}(xsd:anyURI)
skos:altLabel{Literal}[0],"Hākipia, Wiremu, 1564-1616",skos:altLabel{Literal}[0]
skos:altLabel{Literal}[1],"Saixpēr, Gouilliam, 1564-1616",skos:altLabel{Literal}[1]
skos:altLabel{Literal}[2],"Sha-shih-pi-ya, 1564-1616",skos:altLabel{Literal}[2]
skos:altLabel{Literal}[3],"Sha-ō, 1564-1616",skos:altLabel{Literal}[3]
skos:altLabel{Literal}[4],"Shake-speare, William, 1564-1616",skos:altLabel{Literal}[4]
skos:altLabel{Literal}[5],"Shakespear, William, 1564-1616",skos:altLabel{Literal}[5]
