@id,full_coverage
ns5:abstract{Literal}@ar,ns5:abstract{Literal}@ar
ns5:abstract{Literal}@de,ns5:abstract{Literal}@de
ns5:abstract{Literal}@en,ns5:abstract{Literal}@en
ns5:abstract{Literal}@es,ns5:abstract{Literal}@es
ns5:abstract{Literal}@fr,ns5:abstract{Literal}@fr
ns5:abstract{Literal}@it,ns5:abstract{Literal}@it
ns5:abstract{Literal}@ja,ns5:abstract{Literal}@ja
ns5:abstract{Literal}@nl,ns5:abstract{Literal}@nl
ns5:abstract{Literal}@pl,ns5:abstract{Literal}@pl
ns5:abstract{Literal}@pt,ns5:abstract{Literal}@pt
ns5:abstract{Literal}@ru,ns5:abstract{Literal}@ru
ns5:abstract{Literal}@zh,ns5:abstract{Literal}@zh
ns5:activeYearsEndYear{Literal}(xsd:gYear),ns5:activeYearsEndYear{Literal}(xsd:gYear)
ns5:activeYearsStartYear{Literal}(xsd:gYear),ns5:activeYearsStartYear{Literal}(xsd:gYear)
ns5:birthDate{Literal}[0](xsd:date),ns5:birthDate{Literal}[0](xsd:date)
ns5:birthDate{Literal}[1](xsd:date),ns5:birthDate{Literal}[1](xsd:date)
ns5:birthPlace{URIRef}[0],ns5:birthPlace{URIRef}[0]
ns5:birthPlace{URIRef}[1],ns5:birthPlace{URIRef}[1]
ns5:birthPlace{URIRef}[2],ns5:birthPlace{URIRef}[2]
ns5:birthPlace{URIRef}[3],ns5:birthPlace{URIRef}[3]
ns5:birthPlace{URIRef}[4],ns5:birthPlace{URIRef}[4]
ns5:birthPlace{URIRef}[5],ns5:birthPlace{URIRef}[5]
ns5:birthPlace{URIRef}[6],ns5:birthPlace{URIRef}[6]
ns5:birthPlace{URIRef}[7],ns5:birthPlace{URIRef}[7]
ns5:birthPlace{URIRef}[8],ns5:birthPlace{URIRef}[8]
ns5:birthPlace{URIRef}[9],ns5:birthPlace{URIRef}[9]
ns5:birthPlace{URIRef}[10],ns5:birthPlace{URIRef}[10]
ns5:birthPlace{URIRef}[11],ns5:birthPlace{URIRef}[11]
ns5:birthPlace{URIRef}[12],ns5:birthPlace{URIRef}[12]
ns5:deathDate{Literal}[0](xsd:date),ns5:deathDate{Literal}[0](xsd:date)
ns5:deathDate{Literal}[1](xsd:date),ns5:deathDate{Literal}[1](xsd:date)
ns5:deathPlace{URIRef}[0],ns5:deathPlace{URIRef}[0]
ns5:deathPlace{URIRef}[1],ns5:deathPlace{URIRef}[1]
ns5:location{URIRef},ns5:location{URIRef}
ns5:nationality{URIRef}[0],ns5:nationality{URIRef}[0]
ns5:nationality{URIRef}[1],ns5:nationality{URIRef}[1]
ns5:nationality{URIRef}[2],ns5:nationality{URIRef}[2]
