@id,bflc:subjectOf{URIRef}[0],bflc:subjectOf{URIRef}[1],bflc:subjectOf{URIRef}[2],bflc:subjectOf{URIRef}[3],bflc:subjectOf{URIRef}[4],bflc:subjectOf{URIRef}[5],bflc:subjectOf{URIRef}[6],bflc:subjectOf{URIRef}[7],bflc:subjectOf{URIRef}[8],bflc:subjectOf{URIRef}[9],bflc:subjectOf{URIRef}[10],bflc:subjectOf{URIRef}[11],identifiers:lccn{Literal},madsrdf:adminMetadata{BNode}[0],madsrdf:adminMetadata{BNode}[1],madsrdf:authoritativeLabel{Literal}@en,madsrdf:authoritativeLabel{Literal}@fr,madsrdf:authoritativeLabel{Literal},madsrdf:elementList{BNode},madsrdf:hasBroaderAuthority{URIRef},madsrdf:hasCloseExternalAuthority{URIRef}[0],madsrdf:hasCloseExternalAuthority{URIRef}[1],madsrdf:hasCloseExternalAuthority{URIRef}[2],madsrdf:hasSource{BNode},madsrdf:hasVariant{BNode}[0],madsrdf:hasVariant{BNode}[1],madsrdf:hasVariant{BNode}[2],madsrdf:isMemberOfMADSCollection{URIRef}[0],madsrdf:isMemberOfMADSCollection{URIRef}[1],madsrdf:isMemberOfMADSScheme{URIRef},rdf:type{URIRef}[0],rdf:type{URIRef}[1],rdf:type{URIRef}[2],owl:sameAs{URIRef}[0],owl:sameAs{URIRef}[1],skos:altLabel{Literal}[0]@en,skos:altLabel{Literal}[1]@en,skos:altLabel{Literal}[2]@en,skos:broader{URIRef},skos:changeNote{BNode}[0],skos:changeNote{BNode}[1],skos:closeMatch{URIRef}[0],skos:closeMatch{URIRef}[1],skos:closeMatch{URIRef}[2],skos:inScheme{URIRef},skos:prefLabel{Literal}@en,skos:prefLabel{Literal}@fr,skos:prefLabel{Literal},skosxl:altLabel{BNode}[0],skosxl:altLabel{BNode}[1],skosxl:altLabel{BNode}[2],cs:changeReason{Literal}(xsd:string),cs:createdDate{Literal}(xsd:dateTime),cs:creatorName{URIRef},cs:subjectOfChange{URIRef},rdf:first{BNode},rdf:rest{URIRef},skosxl:literalForm{Literal}@en,madsrdf:elementValue{Literal}@en,bflc:aap{Literal},ri:recordChangeDate{Literal}(xsd:dateTime),ri:recordContentSource{URIRef},ri:recordStatus{Literal}(xsd:string),madsrdf:variantLabel{Literal}@en,madsrdf:citationSource{Literal},madsrdf:citationStatus{Literal},entity
N0d5e3ebe957543a089f804ebdcfcdac2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skosxl:Label,,,,,,,,,,,,,,,,,,,,,,,,,,,1969 A.D.,,,,,,,,,N0d5e3ebe957543a089f804ebdcfcdac2
N154ac25ca93147f2a6e9bab29c766147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skosxl:Label,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nineteen hundred sixty-nine, A.D.",,,,,,,,,N154ac25ca93147f2a6e9bab29c766147
N1934469063e04b64b65586badf9ebab5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,madsrdf:TopicElement,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969 A.D.,,,,,,,,N1934469063e04b64b65586badf9ebab5
N208b0b84832d472eb134dca4ef3edcdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nea41036e5e0e48bd833f1f63a9e977aa,rdf:nil,,,,,,,,,,N208b0b84832d472eb134dca4ef3edcdc
N3d22ec28322548a08d5a4506d0f115a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cs:ChangeSet,,,,,,,,,,,,,,,,,,,,,revised,1997-08-19T17:19:31,http://id.loc.gov/vocabulary/organizations/dlc,http://id.loc.gov/authorities/subjects/sh93008322,,,,,,,,,,,,N3d22ec28322548a08d5a4506d0f115a6
N3f2e916d36164a9fb3ef8ce9e0621693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skosxl:Label,,,,,,,,,,,,,,,,,,,,,,,,,,,"Year nineteen sixty-nine, A.D.",,,,,,,,,N3f2e916d36164a9fb3ef8ce9e0621693
N4167ff15200a4ec189c545762df9197e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neb5af5d20b15466084a3aacea7bc52c5,rdf:nil,,,,,,,,,,N4167ff15200a4ec189c545762df9197e
N461946ce3a5e410eacaeef018091d649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ri:RecordInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-08-19T17:19:31,http://id.loc.gov/vocabulary/organizations/dlc,revised,,,,N461946ce3a5e410eacaeef018091d649
N678e95c1749a46b4ae076e5859cfb475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,madsrdf:Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Work cat.: 92-144637: Fotocronaca, 1969.",found,N678e95c1749a46b4ae076e5859cfb475
N7140f70b23c74fab891d14e0429385cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nab4ece1515cf4034b63c525951febd11,rdf:nil,,,,,,,,,,N7140f70b23c74fab891d14e0429385cb
