@id,http://id.worldcat.org/fast/1037825,prop
dct:identifier{Literal},1037825,1037825
schema:name{Literal}[0],1967 A.D.,1967 A.D.
schema:name{Literal}[1],"Nineteen hundred sixty seven, A.D.","Nineteen hundred sixty seven, A.D."
schema:name{Literal}[2],"Nineteen sixty-seven, A.D.","Nineteen sixty-seven, A.D."
schema:name{Literal}[3],"Year nineteen sixty-seven, A.D.","Year nineteen sixty-seven, A.D."
schema:sameAs{URIRef},http://id.loc.gov/authorities/subjects/sh97003090,http://id.loc.gov/authorities/subjects/sh97003090
rdf:type{URIRef},schema:Intangible,schema:Intangible
skos:altLabel{Literal}[0],1967 A.D.,1967 A.D.
skos:altLabel{Literal}[1],"Nineteen hundred sixty seven, A.D.","Nineteen hundred sixty seven, A.D."
skos:altLabel{Literal}[2],"Year nineteen sixty-seven, A.D.","Year nineteen sixty-seven, A.D."
skos:broader{URIRef},http://id.worldcat.org/fast/1037817,http://id.worldcat.org/fast/1037817
skos:inScheme{URIRef}[0],http://id.worldcat.org/fast/ontology/1.0/#facet-Topical,http://id.worldcat.org/fast/ontology/1.0/#facet-Topical
skos:inScheme{URIRef}[1],http://id.worldcat.org/fast/ontology/1.0/#fast,http://id.worldcat.org/fast/ontology/1.0/#fast
skos:prefLabel{Literal},"Nineteen sixty-seven, A.D.","Nineteen sixty-seven, A.D."
entity,http://id.worldcat.org/fast/1037825,http://id.worldcat.org/fast/1037825
