@id,http://id.worldcat.org/fast/29048,prop,http://id.loc.gov/authorities/names/n78095332,http://viaf.org/viaf/96994048,http://babelnet.org/rdf/data/s00008556n?output=xml,http://dbpedia.org/resource/William_Shakespeare
0,29048,29048,,,,
1,"Hākipia, Wiremu, 1564-1616","Hākipia, Wiremu, 1564-1616","Hākipia, Wiremu, 1564-1616",,,
2,"Hākipia, Wiremu, 1564-1616","Hākipia, Wiremu, 1564-1616","Hākipia, Wiremu, 1564-1616",,,
3,"Saixpēr, Gouilliam, 1564-1616","Saixpēr, Gouilliam, 1564-1616","Saixpēr, Gouilliam, 1564-1616",,,
4,"Saixpēr, Gouilliam, 1564-1616","Saixpēr, Gouilliam, 1564-1616","Saixpēr, Gouilliam, 1564-1616",,,
5,"Sha-shih-pi-ya, 1564-1616","Sha-shih-pi-ya, 1564-1616","Sha-shih-pi-ya, 1564-1616",,,
6,"Sha-shih-pi-ya, 1564-1616","Sha-shih-pi-ya, 1564-1616","Sha-shih-pi-ya, 1564-1616",,,
7,"Sha-ō, 1564-1616","Sha-ō, 1564-1616","Sha-ō, 1564-1616",,,
8,"Sha-ō, 1564-1616","Sha-ō, 1564-1616","Sha-ō, 1564-1616",,,
9,"Shake-speare, William, 1564-1616","Shake-speare, William, 1564-1616","Shake-speare, William, 1564-1616",,,
10,"Shake-speare, William, 1564-1616","Shake-speare, William, 1564-1616","Shake-speare, William, 1564-1616",,,
11,"Shakespear, William, 1564-1616","Shakespear, William, 1564-1616","Shakespear, William, 1564-1616",,,
12,"Shakespear, William, 1564-1616","Shakespear, William, 1564-1616","Shakespear, William, 1564-1616",,,
13,"Shakespeare, 1564-1616","Shakespeare, 1564-1616","Shakespeare, 1564-1616",,,
14,"Shakespeare, 1564-1616","Shakespeare, 1564-1616","Shakespeare, 1564-1616",,,
15,"Shakespeare, Guglielmo, 1564-1616","Shakespeare, Guglielmo, 1564-1616","Shakespeare, Guglielmo, 1564-1616",,,
16,"Shakespeare, Guglielmo, 1564-1616","Shakespeare, Guglielmo, 1564-1616","Shakespeare, Guglielmo, 1564-1616",,,
17,"Shakespeare, William, 1564-1616","Shakespeare, William, 1564-1616","Shakespeare, William, 1564-1616",,,
