@id,http://id.worldcat.org/fast/29048,prop,http://id.loc.gov/authorities/names/n78095332,http://viaf.org/viaf/96994048,ulan:500272240,wd:Q692,http://dbpedia.org/resource/William_Shakespeare_x,bn:s00008556n,http://dbpedia.org/resource/William_Shakespeare_y
0,29048,29048,,,,29048,,,
1,"Hākipia, Wiremu, 1564-1616","Hākipia, Wiremu, 1564-1616","Hākipia, Wiremu, 1564-1616",,,,,,
2,"Hākipia, Wiremu, 1564-1616","Hākipia, Wiremu, 1564-1616","Hākipia, Wiremu, 1564-1616",,,,,,
3,"Saixpēr, Gouilliam, 1564-1616","Saixpēr, Gouilliam, 1564-1616","Saixpēr, Gouilliam, 1564-1616",,,,,,
4,"Saixpēr, Gouilliam, 1564-1616","Saixpēr, Gouilliam, 1564-1616","Saixpēr, Gouilliam, 1564-1616",,,,,,
5,"Sha-shih-pi-ya, 1564-1616","Sha-shih-pi-ya, 1564-1616","Sha-shih-pi-ya, 1564-1616",,,,,,
6,"Sha-shih-pi-ya, 1564-1616","Sha-shih-pi-ya, 1564-1616","Sha-shih-pi-ya, 1564-1616",,,,,,
7,"Sha-ō, 1564-1616","Sha-ō, 1564-1616","Sha-ō, 1564-1616",,,,,,
8,"Sha-ō, 1564-1616","Sha-ō, 1564-1616","Sha-ō, 1564-1616",,,,,,
9,"Shake-speare, William, 1564-1616","Shake-speare, William, 1564-1616","Shake-speare, William, 1564-1616",,,,,,
10,"Shake-speare, William, 1564-1616","Shake-speare, William, 1564-1616","Shake-speare, William, 1564-1616",,,,,,
11,"Shakespear, William, 1564-1616","Shakespear, William, 1564-1616","Shakespear, William, 1564-1616",,,,,,
12,"Shakespear, William, 1564-1616","Shakespear, William, 1564-1616","Shakespear, William, 1564-1616",,,,,,
13,"Shakespeare, 1564-1616","Shakespeare, 1564-1616","Shakespeare, 1564-1616",,,,,,
14,"Shakespeare, 1564-1616","Shakespeare, 1564-1616","Shakespeare, 1564-1616",,,,,,
15,"Shakespeare, Guglielmo, 1564-1616","Shakespeare, Guglielmo, 1564-1616","Shakespeare, Guglielmo, 1564-1616",,,,,,
16,"Shakespeare, Guglielmo, 1564-1616","Shakespeare, Guglielmo, 1564-1616","Shakespeare, Guglielmo, 1564-1616",,,,,,
17,"Shakespeare, William, 1564-1616","Shakespeare, William, 1564-1616","Shakespeare, William, 1564-1616",,,"Shakespeare, William, 1564-1616",,,
18,"Shakespeare, William, 1564-1616","Shakespeare, William, 1564-1616","Shakespeare, William, 1564-1616",,,"Shakespeare, William, 1564-1616",,,
19,"Shakspeare, William, 1564-1616","Shakspeare, William, 1564-1616","Shakspeare, William, 1564-1616",,,,,,
20,"Shakspeare, William, 1564-1616","Shakspeare, William, 1564-1616","Shakspeare, William, 1564-1616",,,,,,
21,"Shakspere, William, 1564-1616","Shakspere, William, 1564-1616","Shakspere, William, 1564-1616",,,,,,
22,"Shakspere, William, 1564-1616","Shakspere, William, 1564-1616","Shakspere, William, 1564-1616",,,,,,
23,"Shakspir, 1564-1616","Shakspir, 1564-1616","Shakspir, 1564-1616",,,,,,
24,"Shakspir, 1564-1616","Shakspir, 1564-1616","Shakspir, 1564-1616",,,,,,
25,"Shashibiya, 1564-1616","Shashibiya, 1564-1616","Shashibiya, 1564-1616",,,,,,
26,"Shashibiya, 1564-1616","Shashibiya, 1564-1616","Shashibiya, 1564-1616",,,,,,
27,"Shaḳspir, Ṿilyam, 1564-1616","Shaḳspir, Ṿilyam, 1564-1616","Shaḳspir, Ṿilyam, 1564-1616",,,,,,
28,"Shaḳspir, Ṿilyam, 1564-1616","Shaḳspir, Ṿilyam, 1564-1616","Shaḳspir, Ṿilyam, 1564-1616",,,,,,
29,"Shekspir, U. (Uiliam), 1564-1616","Shekspir, U. (Uiliam), 1564-1616","Shekspir, U. (Uiliam), 1564-1616",,,,,,
30,"Shekspir, U. (Uiliam), 1564-1616","Shekspir, U. (Uiliam), 1564-1616","Shekspir, U. (Uiliam), 1564-1616",,,,,,
31,"Shekspir, Uiliam, 1564-1616","Shekspir, Uiliam, 1564-1616","Shekspir, Uiliam, 1564-1616",,,,,,
32,"Shekspir, Uiliam, 1564-1616","Shekspir, Uiliam, 1564-1616","Shekspir, Uiliam, 1564-1616",,,,,,
33,"Shekspir, Uĭlii︠a︡m, 1564-1616","Shekspir, Uĭlii︠a︡m, 1564-1616","Shekspir, Uĭlii︠a︡m, 1564-1616",,,,,,
34,"Shekspir, Uĭlii︠a︡m, 1564-1616","Shekspir, Uĭlii︠a︡m, 1564-1616","Shekspir, Uĭlii︠a︡m, 1564-1616",,,,,,
35,"Shekspir, V. (Vilʹi︠a︡m), 1564-1616","Shekspir, V. (Vilʹi︠a︡m), 1564-1616","Shekspir, V. (Vilʹi︠a︡m), 1564-1616",,,,,,
36,"Shekspir, V. (Vilʹi︠a︡m), 1564-1616","Shekspir, V. (Vilʹi︠a︡m), 1564-1616","Shekspir, V. (Vilʹi︠a︡m), 1564-1616",,,,,,
37,"Shekspir, Vilʹi︠a︡m, 1564-1616","Shekspir, Vilʹi︠a︡m, 1564-1616","Shekspir, Vilʹi︠a︡m, 1564-1616",,,,,,
38,"Shekspir, Vilʹi︠a︡m, 1564-1616","Shekspir, Vilʹi︠a︡m, 1564-1616","Shekspir, Vilʹi︠a︡m, 1564-1616",,,,,,
39,"Shekspyr, Vyli︠e︡m, 1564-1616","Shekspyr, Vyli︠e︡m, 1564-1616","Shekspyr, Vyli︠e︡m, 1564-1616",,,,,,
40,"Shekspyr, Vyli︠e︡m, 1564-1616","Shekspyr, Vyli︠e︡m, 1564-1616","Shekspyr, Vyli︠e︡m, 1564-1616",,,,,,
41,"Shekspīʼar, Viliyam, 1564-1616","Shekspīʼar, Viliyam, 1564-1616","Shekspīʼar, Viliyam, 1564-1616",,,,,,
